"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2025","725.80","727.70","728.25","717.35","8.56M","-0.26%"
"02/17/2025","727.70","719.05","728.75","711.55","9.09M","0.77%"
"02/14/2025","722.15","730.95","732.90","716.20","10.42M","-0.76%"
"02/13/2025","727.65","734.40","737.50","726.15","12.37M","-0.75%"
"02/12/2025","733.15","733.15","738.70","717.15","12.70M","0.28%"
"02/11/2025","731.10","737.45","740.15","726.55","13.02M","-0.77%"
"02/10/2025","736.80","740.00","743.90","733.40","12.67M","-0.05%"
"02/07/2025","737.20","759.80","759.90","731.75","37.24M","-2.00%"
"02/06/2025","752.25","769.00","770.85","750.05","32.75M","-1.80%"
"02/05/2025","766.05","780.00","782.00","765.00","13.42M","-1.69%"
"02/04/2025","779.20","767.00","781.25","765.65","12.02M","2.40%"
"02/03/2025","760.95","762.80","762.80","753.15","7.86M","-0.66%"
"02/01/2025","766.00","774.80","778.75","752.15","9.36M","-0.89%"
"01/31/2025","772.90","764.90","777.55","759.50","10.08M","1.35%"
"01/30/2025","762.60","758.55","765.00","754.75","11.09M","0.55%"
"01/29/2025","758.45","753.00","760.80","749.80","9.25M","0.80%"
"01/28/2025","752.40","757.00","759.75","745.40","14.14M","0.43%"
"01/27/2025","749.20","740.00","755.35","735.90","11.43M","0.68%"
"01/24/2025","744.15","749.90","753.70","739.00","10.58M","-0.23%"
"01/23/2025","745.90","750.00","755.65","743.10","10.99M","-1.00%"
"01/22/2025","753.45","762.00","763.00","738.00","9.91M","-0.74%"
"01/21/2025","759.05","784.80","784.90","756.05","13.75M","-2.59%"
"01/20/2025","779.25","769.00","785.00","767.85","9.20M","1.98%"
"01/17/2025","764.10","766.30","767.95","759.40","5.77M","-0.29%"
"01/16/2025","766.30","760.40","776.70","760.40","11.82M","1.67%"
"01/15/2025","753.70","753.15","758.90","750.00","7.79M","0.74%"
"01/14/2025","748.15","732.95","757.00","732.95","11.96M","2.56%"
"01/13/2025","729.50","741.50","743.95","722.50","10.41M","-1.85%"
"01/10/2025","743.25","760.35","763.40","742.05","11.78M","-2.26%"
"01/09/2025","760.45","771.15","771.35","726.25","15.35M","-1.39%"
"01/08/2025","771.15","780.90","783.95","760.10","15.64M","-0.98%"
"01/07/2025","778.75","779.85","783.85","774.85","9.67M","0.30%"
"01/06/2025","776.40","797.40","797.60","773.15","11.42M","-2.14%"
"01/03/2025","793.40","801.20","809.50","792.15","13.34M","-0.97%"
"01/02/2025","801.20","795.00","802.40","787.00","11.40M","1.01%"
"01/01/2025","793.20","795.55","798.65","789.50","7.27M","-0.22%"
"12/31/2024","794.95","786.95","799.20","786.00","9.09M","0.84%"
"12/30/2024","788.30","802.00","807.95","785.00","21.52M","-1.42%"
"12/27/2024","799.65","816.30","818.30","797.20","10.65M","-1.58%"
"12/26/2024","812.45","813.00","822.85","808.00","8.32M","0.05%"
"12/24/2024","812.05","824.25","826.20","809.20","10.60M","-1.11%"
"12/23/2024","821.15","817.30","824.00","812.20","4.93M","1.13%"
"12/20/2024","812.00","834.90","836.00","810.00","10.24M","-2.50%"
"12/19/2024","832.80","824.60","838.00","820.20","9.45M","-0.64%"
"12/18/2024","838.15","851.00","852.00","837.00","8.30M","-1.46%"
"12/17/2024","850.55","858.55","862.60","847.05","8.79M","-1.21%"
"12/16/2024","860.95","859.80","866.40","857.80","6.43M","-0.07%"
"12/13/2024","861.55","852.60","862.90","835.00","9.38M","0.92%"
"12/12/2024","853.70","861.50","864.30","851.15","8.85M","-0.92%"
"12/11/2024","861.60","867.50","869.85","860.95","7.01M","-0.68%"
"12/10/2024","867.50","861.80","868.95","858.05","7.38M","1.10%"
"12/09/2024","858.05","859.00","866.85","856.95","9.63M","-0.65%"
"12/06/2024","863.65","865.25","875.45","857.00","14.52M","-0.21%"
"12/05/2024","865.45","860.00","871.45","855.60","14.72M","0.67%"
"12/04/2024","859.70","853.95","864.00","850.30","10.75M","0.67%"
"12/03/2024","853.95","838.00","856.60","836.90","12.19M","2.10%"
"12/02/2024","836.40","838.95","842.00","832.70","6.65M","-0.30%"
"11/29/2024","838.95","841.10","844.05","831.55","10.82M","0.01%"
"11/28/2024","838.85","834.10","845.80","830.50","13.51M","0.57%"
"11/27/2024","834.10","838.50","842.50","832.10","8.38M","-0.63%"
"11/26/2024","839.40","844.00","846.70","835.55","8.89M","-0.60%"
"11/25/2024","844.45","827.00","849.60","825.65","23.43M","3.48%"
"11/22/2024","816.05","786.00","819.95","784.05","20.67M","4.52%"
"11/21/2024","780.75","798.50","798.50","761.55","29.49M","-2.77%"
"11/19/2024","803.00","819.00","820.30","800.10","13.68M","-1.39%"
"11/18/2024","814.30","811.00","816.70","799.25","9.32M","1.25%"
"11/14/2024","804.25","808.65","818.00","801.05","9.46M","-0.54%"
"11/13/2024","808.65","823.35","831.75","804.65","13.76M","-2.18%"
"11/12/2024","826.70","852.50","853.40","824.30","11.35M","-2.47%"
"11/11/2024","847.65","846.00","854.00","842.00","12.62M","0.53%"
"11/08/2024","843.15","859.60","863.50","834.20","26.14M","-1.91%"
"11/07/2024","859.60","861.00","862.40","846.70","15.28M","0.56%"
"11/06/2024","854.80","849.20","861.40","846.20","15.00M","0.66%"
"11/05/2024","849.20","829.85","851.40","826.25","26.25M","2.33%"
"11/04/2024","829.85","822.70","837.50","807.10","14.50M","1.05%"
"11/01/2024","821.20","822.40","825.60","818.90","1.64M","0.12%"
"10/31/2024","820.20","820.00","828.00","813.55","13.40M","-0.27%"
"10/30/2024","822.45","828.00","833.00","821.05","15.98M","-1.23%"
"10/29/2024","832.70","796.00","834.85","790.50","28.27M","5.13%"
"10/28/2024","792.05","783.80","803.95","783.55","13.76M","1.42%"
"10/25/2024","780.95","798.00","800.75","772.00","9.72M","-1.71%"
"10/24/2024","794.55","786.05","797.00","784.65","5.61M","1.09%"
"10/23/2024","786.00","790.00","792.60","779.80","13.87M","-0.56%"
"10/22/2024","790.40","814.00","816.85","787.50","16.65M","-2.89%"
"10/21/2024","813.95","824.70","826.45","809.00","10.36M","-0.79%"
"10/18/2024","820.40","811.10","822.60","802.90","11.70M","1.15%"
"10/17/2024","811.05","809.50","819.50","806.00","18.58M","0.70%"
"10/16/2024","805.45","802.80","809.00","802.05","6.49M","0.10%"
"10/15/2024","804.65","805.50","807.50","801.60","6.25M","-0.06%"
"10/14/2024","805.15","802.00","809.25","800.80","8.97M","0.68%"
"10/11/2024","799.75","797.20","802.70","793.00","14.32M","0.33%"
"10/10/2024","797.10","799.00","804.45","795.00","10.24M","-0.04%"
"10/09/2024","797.40","786.70","804.35","782.05","18.76M","2.04%"
"10/08/2024","781.45","772.25","784.40","772.25","8.56M","1.40%"
"10/07/2024","770.65","800.00","804.00","765.40","24.27M","-3.26%"
"10/04/2024","796.65","792.00","809.85","785.25","20.10M","0.32%"
"10/03/2024","794.10","789.90","804.00","784.30","15.94M","-0.36%"
"10/01/2024","796.95","788.00","800.35","788.00","13.28M","1.15%"
"09/30/2024","787.90","801.90","802.60","786.45","15.48M","-1.84%"
"09/27/2024","802.65","801.85","808.00","798.45","15.19M","0.10%"
"09/26/2024","801.85","796.00","803.00","791.60","23.20M","1.10%"
"09/25/2024","793.10","797.90","798.00","788.70","18.47M","-0.65%"
"09/24/2024","798.25","799.25","804.25","796.50","15.18M","-0.45%"
"09/23/2024","801.85","786.00","805.00","784.50","17.31M","2.58%"
"09/20/2024","781.70","794.85","794.85","779.50","21.37M","-1.04%"
"09/19/2024","789.95","795.05","801.35","784.05","10.65M","-0.35%"
"09/18/2024","792.75","783.80","794.75","782.00","18.32M","1.26%"
"09/17/2024","782.90","785.60","787.50","780.55","10.67M","-0.34%"
"09/16/2024","785.55","790.85","795.00","784.40","9.55M","-0.67%"
"09/13/2024","790.85","791.00","795.00","785.10","12.95M","0.39%"
"09/12/2024","787.75","775.00","789.90","772.75","17.58M","2.49%"
"09/11/2024","768.60","780.05","788.00","765.40","20.06M","-1.80%"
"09/10/2024","782.65","788.00","788.80","777.50","12.82M","-0.20%"
"09/09/2024","784.25","785.00","788.20","771.00","21.32M","0.22%"
"09/06/2024","782.50","811.50","812.90","777.00","40.22M","-4.43%"
"09/05/2024","818.75","818.35","822.15","814.40","8.40M","0.28%"
"09/04/2024","816.50","815.45","818.65","813.65","10.79M","-1.01%"
"09/03/2024","824.80","822.15","825.95","816.40","10.55M","0.32%"
"09/02/2024","822.15","817.30","825.40","813.05","11.81M","0.80%"
"08/30/2024","815.60","817.15","820.70","814.35","8.91M","0.14%"
"08/29/2024","814.50","809.55","816.00","806.95","18.25M","0.63%"
"08/28/2024","809.40","814.75","817.20","806.50","10.37M","-0.80%"
"08/27/2024","815.90","817.80","819.45","811.05","12.83M","0.10%"
"08/26/2024","815.05","818.00","823.45","813.80","8.52M","-0.04%"
"08/23/2024","815.35","821.50","822.00","814.50","5.54M","-0.60%"
"08/22/2024","820.30","819.00","823.90","817.10","7.83M","0.58%"
"08/21/2024","815.55","820.30","821.00","811.20","14.61M","-0.58%"
"08/20/2024","820.30","817.95","823.00","813.35","10.35M","0.81%"
"08/19/2024","813.70","815.00","825.40","812.60","10.15M","0.20%"
"08/16/2024","812.10","803.00","814.90","803.00","11.43M","1.13%"
"08/14/2024","803.00","800.95","809.15","800.40","11.79M","0.68%"
"08/13/2024","797.55","813.50","820.00","795.05","17.59M","-1.85%"
"08/12/2024","812.60","820.60","823.00","811.20","16.12M","-1.42%"
"08/09/2024","824.30","816.00","829.95","809.55","15.32M","2.01%"
"08/08/2024","808.05","812.00","817.80","802.80","14.77M","-0.07%"
"08/07/2024","808.65","809.00","810.70","800.55","17.69M","1.37%"
"08/06/2024","797.70","822.65","826.55","795.65","17.90M","-1.72%"
"08/05/2024","811.65","830.00","831.35","800.00","27.68M","-4.27%"
"08/02/2024","847.85","856.70","858.30","846.15","12.61M","-1.72%"
"08/01/2024","862.65","877.80","881.40","859.45","11.79M","-1.12%"
"07/31/2024","872.40","873.85","874.95","868.00","11.64M","-0.05%"
"07/30/2024","872.80","874.70","880.55","869.00","13.53M","0.14%"
"07/29/2024","871.60","866.05","889.10","863.20","26.58M","1.06%"
"07/26/2024","862.45","844.65","864.25","844.00","12.08M","1.64%"
"07/25/2024","848.50","847.50","850.75","841.20","9.52M","-0.41%"
"07/24/2024","852.00","864.20","868.00","847.20","19.62M","-1.38%"
"07/23/2024","863.90","883.00","884.50","849.10","18.28M","-1.47%"
"07/22/2024","876.80","881.45","895.00","868.00","14.61M","-1.41%"
"07/19/2024","889.35","895.00","899.00","883.30","14.56M","-0.47%"
"07/18/2024","893.55","880.65","894.90","877.50","19.44M","1.46%"
"07/16/2024","880.70","882.30","888.10","874.30","11.89M","-0.07%"
"07/15/2024","881.35","859.70","887.35","859.70","25.39M","2.52%"
"07/12/2024","859.70","856.70","863.00","855.30","11.45M","0.35%"
"07/11/2024","856.70","854.40","858.30","849.75","8.50M","0.91%"
"07/10/2024","849.00","860.10","860.25","843.50","17.34M","-1.43%"
"07/09/2024","861.30","859.90","869.95","856.00","13.59M","0.59%"
"07/08/2024","856.25","859.75","865.00","853.50","10.36M","-0.41%"
"07/05/2024","859.75","838.00","861.25","837.00","24.87M","2.44%"
"07/04/2024","839.30","843.00","844.90","834.30","13.37M","-0.08%"
"07/03/2024","839.95","829.00","843.85","825.00","23.60M","1.67%"
"07/02/2024","826.15","844.00","846.30","823.15","21.14M","-1.88%"
"07/01/2024","841.95","849.35","850.50","839.95","10.97M","-0.82%"
"06/28/2024","848.95","846.90","864.00","844.00","23.64M","0.59%"
"06/27/2024","844.00","843.90","847.40","838.25","20.38M","-0.16%"
"06/26/2024","845.35","839.85","848.80","836.00","16.28M","0.37%"
"06/25/2024","842.25","837.00","845.85","834.30","20.92M","1.15%"
"06/24/2024","832.70","831.50","836.00","821.05","12.72M","-0.43%"
"06/21/2024","836.30","844.90","848.05","828.60","18.99M","-0.88%"
"06/20/2024","843.75","853.00","853.10","842.35","13.99M","-1.04%"
"06/19/2024","852.60","846.80","860.60","841.00","32.93M","0.91%"
"06/18/2024","844.90","841.55","851.50","840.25","14.93M","0.68%"
"06/14/2024","839.20","845.00","849.90","835.10","12.90M","-0.56%"
"06/13/2024","843.90","845.00","845.90","836.10","12.52M","0.57%"
"06/12/2024","839.10","837.00","845.55","833.00","15.07M","0.42%"
"06/11/2024","835.55","836.00","839.60","829.05","14.75M","0.45%"
"06/10/2024","831.80","834.15","845.45","829.20","16.73M","0.22%"
"06/07/2024","829.95","819.90","831.50","810.50","25.06M","1.59%"
"06/06/2024","816.95","800.00","833.35","796.00","40.56M","3.44%"
"06/05/2024","789.75","790.75","795.00","744.05","74.26M","1.88%"
"06/04/2024","775.20","897.00","897.00","731.95","122.38M","-14.40%"
"06/03/2024","905.65","863.55","912.00","856.75","64.27M","9.07%"
"05/31/2024","830.35","830.70","835.00","817.10","22.27M","0.54%"
"05/30/2024","825.85","821.40","836.00","819.30","17.82M","0.39%"
"05/29/2024","822.65","828.40","834.45","819.30","14.52M","-1.02%"
"05/28/2024","831.15","835.70","840.70","823.30","13.82M","-0.31%"
"05/27/2024","833.70","832.60","839.40","823.00","12.30M","0.62%"
"05/24/2024","828.60","830.00","841.25","827.00","12.25M","-0.42%"
"05/23/2024","832.10","824.70","835.50","822.00","17.50M","1.63%"
"05/22/2024","818.75","826.55","826.65","813.55","19.24M","-1.43%"
"05/21/2024","830.65","821.00","836.30","819.60","14.04M","1.18%"
"05/18/2024","821.00","822.00","823.00","819.20","960.45K","0.39%"
"05/17/2024","817.85","814.50","822.45","811.20","12.49M","0.73%"
"05/16/2024","811.95","825.30","826.15","797.35","20.54M","-1.02%"
"05/15/2024","820.30","821.00","825.30","818.05","9.76M","0.26%"
"05/14/2024","818.20","813.00","822.40","807.90","10.91M","1.16%"
"05/13/2024","808.80","819.85","819.85","798.60","15.40M","-1.05%"
"05/10/2024","817.35","827.00","832.05","815.60","20.54M","-0.30%"
"05/09/2024","819.80","811.90","839.65","803.55","49.29M","1.11%"
"05/08/2024","810.80","802.60","822.00","799.50","27.91M","1.11%"
"05/07/2024","801.90","812.00","814.65","793.20","16.73M","-0.73%"
"05/06/2024","807.80","835.00","836.00","803.00","35.28M","-2.84%"
"05/03/2024","831.45","834.80","836.20","820.00","22.67M","0.17%"
"05/02/2024","830.05","826.90","833.90","825.00","19.94M","0.46%"
"04/30/2024","826.25","826.50","834.85","819.90","27.45M","-0.03%"
"04/29/2024","826.50","807.00","831.25","798.70","27.30M","3.14%"
"04/26/2024","801.30","815.90","816.90","798.90","14.96M","-1.40%"
"04/25/2024","812.70","770.65","814.40","769.65","36.73M","5.12%"
"04/24/2024","773.10","778.50","778.50","770.20","7.84M","0.01%"
"04/23/2024","773.00","770.35","777.70","765.55","12.29M","0.90%"
"04/22/2024","766.10","754.15","769.00","750.45","17.45M","2.09%"
"04/19/2024","750.45","734.50","752.00","732.05","10.89M","0.76%"
"04/18/2024","744.80","752.05","759.95","742.00","14.59M","-0.92%"
"04/16/2024","751.70","751.25","754.90","744.40","13.34M","-0.77%"
"04/15/2024","757.50","759.80","763.30","748.75","11.36M","-1.15%"
"04/12/2024","766.30","777.25","779.50","764.80","14.41M","-1.64%"
"04/10/2024","779.05","766.50","780.70","763.65","14.53M","1.94%"
"04/09/2024","764.20","768.45","772.45","761.10","7.47M","-0.53%"
"04/08/2024","768.30","766.05","770.00","761.80","9.80M","0.46%"
"04/05/2024","764.75","757.95","767.70","752.60","9.94M","0.72%"
"04/04/2024","759.30","775.00","775.30","758.10","15.89M","-1.52%"
"04/03/2024","771.05","764.90","772.60","760.15","19.14M","0.61%"
"04/02/2024","766.40","758.20","768.75","753.35","15.71M","1.07%"
"04/01/2024","758.30","759.05","761.50","752.10","9.95M","0.79%"
"03/28/2024","752.35","737.75","759.55","736.90","21.71M","2.60%"
"03/27/2024","733.30","743.00","745.85","730.20","30.09M","-0.91%"
"03/26/2024","740.05","743.05","747.85","738.50","14.68M","-0.89%"
"03/22/2024","746.70","743.85","748.80","741.40","15.54M","0.32%"
"03/21/2024","744.30","742.00","750.60","740.55","15.16M","1.09%"
"03/20/2024","736.25","725.15","738.95","719.80","25.41M","1.72%"
"03/19/2024","723.80","730.00","734.35","721.15","15.21M","-0.98%"
"03/18/2024","730.95","727.10","737.90","722.10","18.15M","-0.13%"
"03/15/2024","731.90","739.25","746.55","723.00","29.79M","-1.23%"
"03/14/2024","741.05","749.90","750.80","734.05","19.73M","-0.83%"
"03/13/2024","747.25","758.65","763.70","743.00","27.95M","-1.64%"
"03/12/2024","759.70","770.00","777.75","757.35","21.53M","-1.81%"
"03/11/2024","773.70","790.00","792.80","770.55","16.78M","-1.82%"
"03/07/2024","788.05","790.00","793.40","783.00","15.50M","0.53%"
"03/06/2024","783.90","783.65","790.30","772.90","26.71M","-0.01%"
"03/05/2024","783.95","769.50","786.95","769.10","18.09M","1.54%"
"03/04/2024","772.05","774.40","777.00","769.00","9.79M","-0.16%"
"03/02/2024","773.30","770.35","777.00","769.00","1.16M","0.54%"
"03/01/2024","769.15","752.00","772.00","751.95","17.35M","2.81%"
"02/29/2024","748.10","743.90","753.90","737.15","19.22M","0.75%"
"02/28/2024","742.50","749.85","756.75","741.00","11.26M","-0.98%"
"02/27/2024","749.85","758.90","762.35","742.20","13.97M","-1.19%"
"02/26/2024","758.90","755.00","766.35","752.70","11.36M","-0.02%"
"02/23/2024","759.05","765.90","770.50","755.00","14.14M","-0.89%"
"02/22/2024","765.90","773.00","773.00","757.00","18.80M","-0.73%"
"02/21/2024","771.50","760.65","777.50","759.60","21.47M","1.50%"
"02/20/2024","760.10","759.05","763.50","754.00","12.53M","0.11%"
"02/19/2024","759.25","758.70","765.00","750.00","13.98M","0.60%"
"02/16/2024","754.70","763.45","774.60","753.35","27.37M","-0.92%"
"02/15/2024","761.70","747.70","764.00","741.65","33.94M","2.46%"
"02/14/2024","743.40","705.55","748.50","705.55","36.78M","4.20%"
"02/13/2024","713.45","708.55","718.00","702.15","23.35M","0.78%"
"02/12/2024","707.90","726.00","726.00","704.50","22.87M","-2.39%"
"02/09/2024","725.25","703.65","728.35","694.20","43.24M","3.67%"
"02/08/2024","699.55","680.40","718.90","678.50","74.22M","3.60%"
"02/07/2024","675.25","655.05","677.95","655.00","41.70M","3.84%"
"02/06/2024","650.25","644.45","655.00","637.70","14.08M","1.14%"
"02/05/2024","642.95","647.10","654.80","638.75","28.34M","-1.03%"
"02/02/2024","649.65","652.00","660.55","646.70","27.47M","0.31%"
"02/01/2024","647.65","642.75","652.95","633.25","26.59M","1.12%"
"01/31/2024","640.50","626.40","643.20","622.00","23.27M","2.19%"
"01/30/2024","626.75","625.45","633.50","624.20","16.97M","0.61%"
"01/29/2024","622.95","619.00","629.50","615.60","19.57M","1.66%"
"01/25/2024","612.75","618.50","623.80","606.25","22.68M","-0.90%"
"01/24/2024","618.30","609.95","622.35","603.10","19.22M","2.18%"
"01/23/2024","605.10","627.00","634.90","600.65","30.95M","-4.17%"
"01/20/2024","631.40","629.00","633.80","624.10","9.89M","0.58%"
"01/19/2024","627.75","633.00","635.50","624.70","11.68M","-0.09%"
"01/18/2024","628.30","625.80","633.45","619.05","14.70M","0.37%"
"01/17/2024","626.00","624.00","636.80","623.00","30.02M","-1.71%"
"01/16/2024","636.90","640.00","644.90","633.45","15.03M","-0.50%"
"01/15/2024","640.10","638.90","645.50","636.10","16.84M","1.03%"
"01/12/2024","633.60","623.80","636.50","621.10","16.62M","2.16%"
"01/11/2024","620.20","626.00","627.15","618.50","15.53M","-0.25%"
"01/10/2024","621.75","624.80","625.30","618.20","12.74M","-0.58%"
"01/09/2024","625.40","632.00","634.35","624.50","13.40M","-0.26%"
"01/08/2024","627.00","640.00","645.00","625.05","14.74M","-2.33%"
"01/05/2024","641.95","645.00","651.75","637.75","15.98M","-0.12%"
"01/04/2024","642.75","642.50","646.40","638.65","13.88M","-0.11%"
"01/03/2024","643.45","639.35","648.00","635.80","14.57M","0.63%"
"01/02/2024","639.45","641.35","648.00","633.85","15.16M","-0.30%"
"01/01/2024","641.35","642.20","646.90","638.00","8.30M","-0.11%"
"12/29/2023","642.05","645.50","649.60","639.55","13.22M","-1.44%"
"12/28/2023","651.40","650.25","653.30","646.50","16.98M","0.44%"
"12/27/2023","648.55","640.75","649.45","639.00","14.42M","1.65%"
"12/26/2023","638.05","638.85","641.30","635.65","10.15M","0.20%"
"12/22/2023","636.75","644.75","649.40","635.15","15.00M","-1.09%"
"12/21/2023","643.75","632.15","648.95","627.50","19.92M","1.15%"
"12/20/2023","636.45","658.70","660.40","633.95","22.54M","-2.89%"
"12/19/2023","655.40","648.50","659.60","640.25","19.96M","1.06%"
"12/18/2023","648.50","646.65","655.65","642.40","16.22M","0.04%"
"12/15/2023","648.25","628.00","650.00","619.85","29.81M","3.94%"
"12/14/2023","623.65","626.00","627.75","622.40","15.81M","0.61%"
"12/13/2023","619.85","614.45","620.50","611.65","13.98M","1.22%"
"12/12/2023","612.40","617.00","617.95","610.80","14.49M","-0.30%"
"12/11/2023","614.25","615.00","619.90","613.10","11.71M","0.02%"
"12/08/2023","614.15","610.00","616.80","605.35","17.72M","0.40%"
"12/07/2023","611.70","610.00","612.55","605.00","10.73M","0.53%"
"12/06/2023","608.45","614.00","614.00","604.55","21.44M","0.03%"
"12/05/2023","608.25","595.05","611.30","595.05","36.43M","2.28%"
"12/04/2023","594.70","588.00","596.00","584.55","26.08M","4.01%"
"12/01/2023","571.75","567.00","574.20","566.55","10.61M","1.24%"
"11/30/2023","564.75","569.75","570.20","563.65","19.76M","-0.68%"
"11/29/2023","568.60","568.00","569.00","565.10","10.30M","0.74%"
"11/28/2023","564.45","563.60","565.20","561.10","8.15M","0.73%"
"11/24/2023","560.35","561.95","562.45","559.25","6.53M","0.07%"
"11/23/2023","559.95","561.75","563.50","558.30","6.38M","0.18%"
"11/22/2023","558.95","562.95","564.50","555.15","14.91M","-0.45%"
"11/21/2023","561.50","566.00","566.65","561.00","14.28M","-0.40%"
"11/20/2023","563.75","564.00","566.80","560.60","12.71M","0.12%"
"11/17/2023","563.05","574.50","574.50","562.10","37.17M","-3.69%"
"11/16/2023","584.65","584.70","588.00","582.90","8.62M","-0.01%"
"11/15/2023","584.70","587.25","588.00","582.60","11.40M","0.58%"
"11/13/2023","581.35","581.00","582.50","575.20","11.28M","0.01%"
"11/12/2023","581.30","584.75","584.75","580.45","1.94M","0.31%"
"11/10/2023","579.50","577.80","581.00","575.40","6.77M","0.20%"
"11/09/2023","578.35","581.00","581.85","576.50","12.43M","-0.34%"
"11/08/2023","580.30","581.90","582.60","579.00","15.43M","0.09%"
"11/07/2023","579.75","574.80","581.20","572.60","17.92M","0.94%"
"11/06/2023","574.35","582.00","582.50","573.25","16.50M","-0.66%"
"11/03/2023","578.15","576.00","579.50","573.45","11.37M","1.06%"
"11/02/2023","572.10","571.10","575.45","567.60","11.15M","1.01%"
"11/01/2023","566.40","566.25","569.65","563.85","13.58M","0.15%"
"10/31/2023","565.55","567.00","569.50","563.15","13.04M","0.06%"
"10/30/2023","565.20","563.00","566.70","556.50","8.59M","0.72%"
"10/27/2023","561.15","550.00","562.50","550.00","10.42M","2.59%"
"10/26/2023","547.00","551.45","552.90","543.20","19.42M","-1.65%"
"10/25/2023","556.20","558.60","560.80","553.60","12.13M","0.59%"
"10/23/2023","552.95","563.10","566.00","551.00","11.88M","-1.80%"
"10/20/2023","563.10","569.90","570.00","562.10","11.11M","-1.42%"
"10/19/2023","571.20","569.80","574.00","567.00","11.44M","-0.25%"
"10/18/2023","572.65","577.75","579.25","569.35","11.78M","-0.66%"
"10/17/2023","576.45","577.70","579.95","575.30","10.77M","0.14%"
"10/16/2023","575.65","576.00","578.75","571.50","11.29M","-0.09%"
"10/13/2023","576.15","577.75","581.30","574.80","19.06M","-1.69%"
"10/12/2023","586.05","590.80","593.00","585.00","11.98M","-0.39%"
"10/11/2023","588.35","596.90","597.00","587.60","14.22M","-0.56%"
"10/10/2023","591.65","587.00","595.00","585.75","10.37M","1.12%"
"10/09/2023","585.10","588.00","589.00","581.55","9.19M","-1.54%"
"10/06/2023","594.25","593.40","598.95","592.20","8.22M","0.35%"
"10/05/2023","592.15","590.00","594.35","587.10","13.25M","1.01%"
"10/04/2023","586.25","600.00","600.45","584.45","24.91M","-2.77%"
"10/03/2023","602.95","596.60","604.90","589.60","15.32M","0.74%"
"09/29/2023","598.55","592.85","600.00","591.30","12.19M","1.46%"
"09/28/2023","589.95","591.25","595.20","588.85","21.96M","0.03%"
"09/27/2023","589.75","593.45","594.30","588.20","9.87M","-0.78%"
"09/26/2023","594.40","594.00","595.00","591.25","8.33M","0.06%"
"09/25/2023","594.05","601.50","601.50","590.45","9.71M","-0.69%"
"09/22/2023","598.15","593.50","602.00","591.40","18.78M","1.70%"
"09/21/2023","588.15","600.00","606.60","584.65","23.45M","-2.15%"
"09/20/2023","601.10","600.85","606.80","599.40","21.31M","-0.47%"
"09/18/2023","603.95","598.80","608.40","597.05","19.31M","0.86%"
"09/15/2023","598.80","599.35","600.70","595.20","11.76M","0.25%"
"09/14/2023","597.30","598.45","603.70","595.20","13.18M","0.14%"
"09/13/2023","596.45","588.40","598.00","583.45","19.38M","1.38%"
"09/12/2023","588.35","593.65","594.25","584.65","16.09M","-0.57%"
"09/11/2023","591.70","587.00","592.30","585.35","10.95M","1.41%"
"09/08/2023","583.45","581.00","588.50","579.70","14.03M","0.76%"
"09/07/2023","579.05","568.00","581.00","568.00","12.39M","1.50%"
"09/06/2023","570.50","574.25","574.25","568.00","20.61M","-0.44%"
"09/05/2023","573.00","575.60","578.25","571.35","14.44M","-0.44%"
"09/04/2023","575.55","572.00","576.35","568.45","12.11M","1.05%"
"09/01/2023","569.55","562.70","571.20","562.10","18.12M","1.46%"
"08/31/2023","561.35","569.30","570.30","559.40","27.90M","-1.07%"
"08/30/2023","567.40","576.70","577.70","566.10","15.28M","-1.30%"
"08/29/2023","574.85","573.65","576.30","571.85","13.14M","0.35%"
"08/28/2023","572.85","572.80","574.80","569.20","9.71M","0.51%"
"08/25/2023","569.95","573.80","575.30","567.20","12.27M","-1.21%"
"08/24/2023","576.95","578.15","582.00","575.55","24.13M","0.01%"
"08/23/2023","576.90","571.00","577.95","566.00","18.58M","1.48%"
"08/22/2023","568.50","572.50","574.45","567.50","14.07M","-0.56%"
"08/21/2023","571.70","572.95","575.55","570.75","9.38M","-0.22%"
"08/18/2023","572.95","570.00","575.25","567.40","18.25M","0.14%"
"08/17/2023","572.15","565.75","573.15","564.00","27.91M","1.20%"
"08/16/2023","565.35","558.80","566.40","554.00","15.73M","0.81%"
"08/14/2023","560.80","572.95","573.00","558.60","28.08M","-2.33%"
"08/11/2023","574.15","575.45","579.00","572.00","18.22M","0.09%"
"08/10/2023","573.65","573.75","577.60","570.10","27.33M","-0.02%"
"08/09/2023","573.75","575.00","575.00","568.35","15.77M","0.11%"
"08/08/2023","573.10","571.00","574.25","568.45","25.04M","0.92%"
"08/07/2023","567.90","577.00","577.00","566.65","32.74M","-0.94%"
"08/04/2023","573.30","594.80","598.70","571.40","52.73M","-2.91%"
"08/03/2023","590.50","598.70","600.85","585.00","27.77M","-1.33%"
"08/02/2023","598.45","609.85","610.50","594.10","14.98M","-2.19%"
"08/01/2023","611.85","620.20","620.85","610.60","13.49M","-1.35%"
"07/31/2023","620.20","616.65","621.00","614.50","8.61M","0.67%"
"07/28/2023","616.05","616.40","619.90","613.60","11.93M","-0.08%"
"07/27/2023","616.55","616.40","621.25","613.10","17.44M","0.23%"
"07/26/2023","615.15","612.00","616.35","609.15","10.00M","0.91%"
"07/25/2023","609.60","621.80","621.80","604.20","18.50M","-1.30%"
"07/24/2023","617.65","615.05","621.90","614.30","11.76M","0.41%"
