close,datetime,exchange_code,high,low,open,stock_code,volume,Price,Rsi_Indicator,BB_Ind,MACD_Trend,stoch_Score,Rsi_Indicator_lag_1,Rsi_Indicator_lag_2,Rsi_Indicator_lag_3,Rsi_Indicator_lag_5,Rsi_Indicator_rolling_3,Rsi_Indicator_rolling_5,Rsi_Indicator_rolling_10,BB_Ind_lag_1,BB_Ind_lag_2,BB_Ind_lag_3,BB_Ind_lag_5,BB_Ind_rolling_3,BB_Ind_rolling_5,BB_Ind_rolling_10,MACD_Trend_lag_1,MACD_Trend_lag_2,MACD_Trend_lag_3,MACD_Trend_lag_5,MACD_Trend_rolling_3,MACD_Trend_rolling_5,MACD_Trend_rolling_10,stoch_Score_lag_1,stoch_Score_lag_2,stoch_Score_lag_3,stoch_Score_lag_5,stoch_Score_rolling_3,stoch_Score_rolling_5,stoch_Score_rolling_10,high_lag_1,high_lag_2,high_lag_3,high_lag_5,high_rolling_3,high_rolling_5,high_rolling_10,low_lag_1,low_lag_2,low_lag_3,low_lag_5,low_rolling_3,low_rolling_5,low_rolling_10,open_lag_1,open_lag_2,open_lag_3,open_lag_5,open_rolling_3,open_rolling_5,open_rolling_10,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_5,Price_rolling_3,Price_rolling_5,Price_rolling_10,volatility_5d,volatility_10d,price_pct_change_1d,price_pct_change_5d,close_scaled,high_scaled,low_scaled,open_scaled,volume_scaled,Price_scaled,BB_Ind_scaled,stoch_Score_scaled,Rsi_Indicator_lag_1_scaled,Rsi_Indicator_lag_2_scaled,Rsi_Indicator_lag_3_scaled,Rsi_Indicator_lag_5_scaled,Rsi_Indicator_rolling_3_scaled,Rsi_Indicator_rolling_5_scaled,Rsi_Indicator_rolling_10_scaled,BB_Ind_lag_1_scaled,BB_Ind_lag_2_scaled,BB_Ind_lag_3_scaled,BB_Ind_lag_5_scaled,BB_Ind_rolling_3_scaled,BB_Ind_rolling_5_scaled,BB_Ind_rolling_10_scaled,MACD_Trend_lag_1_scaled,MACD_Trend_lag_2_scaled,MACD_Trend_lag_3_scaled,MACD_Trend_lag_5_scaled,MACD_Trend_rolling_3_scaled,MACD_Trend_rolling_5_scaled,MACD_Trend_rolling_10_scaled,stoch_Score_lag_1_scaled,stoch_Score_lag_2_scaled,stoch_Score_lag_3_scaled,stoch_Score_lag_5_scaled,stoch_Score_rolling_3_scaled,stoch_Score_rolling_5_scaled,stoch_Score_rolling_10_scaled,high_lag_1_scaled,high_lag_2_scaled,high_lag_3_scaled,high_lag_5_scaled,high_rolling_3_scaled,high_rolling_5_scaled,high_rolling_10_scaled,low_lag_1_scaled,low_lag_2_scaled,low_lag_3_scaled,low_lag_5_scaled,low_rolling_3_scaled,low_rolling_5_scaled,low_rolling_10_scaled,open_lag_1_scaled,open_lag_2_scaled,open_lag_3_scaled,open_lag_5_scaled,open_rolling_3_scaled,open_rolling_5_scaled,open_rolling_10_scaled,Price_lag_1_scaled,Price_lag_2_scaled,Price_lag_3_scaled,Price_lag_5_scaled,Price_rolling_3_scaled,Price_rolling_5_scaled,Price_rolling_10_scaled,volatility_5d_scaled,volatility_10d_scaled,price_pct_change_1d_scaled,price_pct_change_5d_scaled,target_next_day_return,target_next_day_direction,target_5d_return,target_5d_direction
1241.13,2015-05-04,NSE,1252.4,1228.6,1245.5,TCS,1883144,1241.13,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2051565906324513,-1.2079347243245073,-1.2030512576094106,-1.2010637322661146,-0.32343423190790516,-1.2051565906324513,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.14571715051959233,-0.15663002050814168,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,-0.0014796331958645292,0.0,-0.0018448740130127,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-2.399994729254183,-2.3962393470638035,-2.392501618540275,-2.3850107423795843,-2.400436322871295,-2.3952872396944818,-2.3813026260530337,-2.391147570182754,-2.3874413765141087,-2.3837290477888526,-2.376309943197502,-2.3916026286816945,-2.386549297116451,-2.3727806734191215,-2.395775641953703,-2.3920440810375285,-2.3883062569449125,-2.380842118211693,-2.396232189714516,-2.3911039745794263,-2.3771835598829454,-2.3963140168022914,-2.392581169981061,-2.388867310643065,-2.3814072248679907,-2.396934319512661,-2.3918744921006905,-2.378015197428115,-0.5975794685391205,-0.8249205904475153,-0.02930417518554162,-0.058119075925204995,0.01318959335444303,1,0.030915375504580345,1
1257.5,2015-05-05,NSE,1268.23,1250.0,1250.5,TCS,3242730,1257.5,1,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252.4,0.0,0.0,0.0,0.0,0.0,0.0,1228.6,0.0,0.0,0.0,0.0,0.0,0.0,1245.5,0.0,0.0,0.0,0.0,0.0,0.0,1241.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01318959335444303,0.0,-1.1893965620225224,-1.1928201174083533,-1.1822920964650891,-1.1962526085567218,0.2446805048309639,-1.1893965620225224,-0.09273681093054349,0.07465187007854363,2.205438453196911,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.14571715051959233,-0.15663002050814168,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,-0.0014796331958645292,0.0,-0.0018448740130127,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.205386278454082,-2.3962393470638035,-2.392501618540275,-2.3850107423795843,-2.400436322871295,-2.3952872396944818,-2.3813026260530337,-1.200521268080067,-2.3874413765141087,-2.3837290477888526,-2.376309943197502,-2.3916026286816945,-2.386549297116451,-2.3727806734191215,-1.198527803649704,-2.3920440810375285,-2.3883062569449125,-2.380842118211693,-2.396232189714516,-2.3911039745794263,-2.3771835598829454,-1.2026168377247979,-2.392581169981061,-2.388867310643065,-2.3814072248679907,-2.396934319512661,-2.3918744921006905,-2.378015197428115,-0.5975794685391205,-0.8249205904475153,0.2150143495027612,-0.058119075925204995,-0.020675944333996,0,0.003562624254473068,1
1231.5,2015-05-06,NSE,1257.5,1227.9,1257.5,TCS,3391354,1231.5,0,0.0,-1,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.23,1252.4,0.0,0.0,1259.3766666666668,0.0,0.0,1250.0,1228.6,0.0,0.0,1235.5,0.0,0.0,1250.5,1245.5,0.0,0.0,1251.1666666666667,0.0,0.0,1257.5,1241.13,0.0,0.0,1243.3766666666668,0.0,0.0,0.0,0.0,-0.020675944333996,0.0,-1.2144277620138575,-1.2030652047242303,-1.2037302955907665,-1.1895170353635718,0.30678432513587856,-1.2144277620138575,-0.09273681093054349,0.07465187007854363,2.205438453196911,2.205438453196911,-0.12756392081473136,-0.12756392081473136,1.6442114297434596,-0.15663002050814168,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,3.6517347273936576,-0.0014796331958645292,-0.0014796331958645292,0.0,-0.0018448740130127,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.1902867481313693,-1.2028446018994603,-2.392501618540275,-2.3850107423795843,-1.1987130254498368,-2.3952872396944818,-2.3813026260530337,-1.1797827015287097,-1.1979990698858183,-2.3837290477888526,-2.376309943197502,-1.193819902980355,-2.386549297116451,-2.3727806734191215,-1.193721509638046,-1.1959999487383053,-2.3883062569449125,-2.380842118211693,-1.1930651880369878,-2.3911039745794263,-2.3771835598829454,-1.18687245734442,-1.2000840614016937,-2.388867310643065,-2.3814072248679907,-1.2005273423220708,-2.3918744921006905,-2.378015197428115,-0.5975794685391205,-0.8249205904475153,-0.4122967421639412,-0.058119075925204995,0.034510759236703104,1,0.024401136825010106,1
1274.0,2015-05-07,NSE,1276.88,1226.85,1232.45,TCS,3187070,1274.0,1,0.0,1,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.5,1268.23,1252.4,0.0,1267.5366666666666,0.0,0.0,1227.9,1250.0,1228.6,0.0,1234.9166666666667,0.0,0.0,1257.5,1250.5,1245.5,0.0,1246.8166666666666,0.0,0.0,1231.5,1257.5,1241.13,0.0,1254.3333333333333,0.0,0.0,0.0,0.0,0.034510759236703104,0.0,-1.1735113774126367,-1.1845610302431775,-1.2047488525628012,-1.2136207651476298,0.22142249375488232,-1.1735113774126367,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,2.205438453196911,2.205438453196911,-0.12756392081473136,1.6442114297434596,-0.15663002050814168,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-3.6546939937853873,3.6517347273936576,-0.0014796331958645292,0.0,2.2756520950511674,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.2005216161264867,-1.1877604124903647,-1.2003115032267015,-2.3850107423795843,-1.1909265844536623,-2.3952872396944818,-2.3813026260530337,-1.201199632406513,-1.177281126403932,-1.195484427332976,-2.376309943197502,-1.1943854283465973,-2.386549297116451,-2.3727806734191215,-1.186992698021725,-1.1911984869466585,-1.1934801707802158,-2.380842118211693,-1.197248304960364,-2.3911039745794263,-2.3771835598829454,-1.2118788037029922,-1.1843555094631828,-1.1975599221947602,-2.3814072248679907,-1.1899845737482533,-2.3918744921006905,-2.378015197428115,-0.5975794685391205,-0.8249205904475153,0.6099587312591258,-0.058119075925204995,-0.007064364207221341,0,-0.02080062794348514,0
1265.0,2015-05-08,NSE,1294.0,1258.15,1280.0,TCS,2999982,1265.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.88,1257.5,1268.23,0.0,1276.1266666666668,1269.8020000000001,0.0,1226.85,1227.9,1250.0,0.0,1237.6333333333334,1238.3,0.0,1232.45,1257.5,1250.5,0.0,1256.6499999999999,1253.19,0.0,1274.0,1231.5,1257.5,0.0,1256.8333333333333,1253.826,0.0,17.356450674028927,0.0,-0.007064364207221341,0.0,-1.1821760235634833,-1.1682147213104828,-1.1743861542535836,-1.1678669786713043,0.14324615929203735,-1.1821760235634833,-0.09273681093054349,0.07465187007854363,2.205438453196911,-0.12756392081473136,2.205438453196911,-0.12756392081473136,0.7492471396119337,1.5827381382681782,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,3.6517347273936576,-3.6546939937853873,3.6517347273936576,0.0,-0.0018448740130127,1.895601569001821,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.182035899281624,-1.1979848820013943,-1.1852425400157356,-2.3850107423795843,-1.1827298285520518,-1.185304742966278,-2.3813026260530337,-1.2022171788961826,-1.1986767596258798,-1.1747873453878712,-2.376309943197502,-1.1917516959266685,-1.1876859554312755,-2.3727806734191215,-1.2110722310201312,-1.184476440438353,-1.188683598776343,-2.380842118211693,-1.1877922168960273,-1.1876674364145525,-2.3771835598829454,-1.171003045232249,-1.209336715962956,-1.1818470621809836,-2.3814072248679907,-1.1875790135321405,-1.187050140784903,-2.378015197428115,-0.31228105649040117,-0.8249205904475153,-0.16016151055500294,-0.058119075925204995,0.01146245059288531,1,-0.007509881422924858,0
1279.5,2015-05-11,NSE,1281.53,1262.5,1267.5,TCS,2547020,1279.5,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,1276.88,1257.5,1252.4,1284.1366666666665,1275.6280000000002,0.0,1258.15,1226.85,1227.9,1228.6,1249.1666666666667,1245.08,0.0,1280.0,1232.45,1257.5,1245.5,1259.9833333333333,1257.59,0.0,1265.0,1274.0,1231.5,1241.13,1272.8333333333333,1261.5,0.0,18.764994004795202,0.0,0.01146245059288531,0.030915375504580345,-1.168216315876008,-1.1801211741370425,-1.1701664182265838,-1.1798947879447863,-0.046027919275049685,-1.168216315876008,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,2.205438453196911,-0.12756392081473136,2.205438453196911,0.7492471396119337,1.0029487520094051,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,3.6517347273936576,-3.6546939937853873,0.0,2.2756520950511674,1.895601569001821,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.165705895546637,-1.1795179463887424,-1.1954566887999216,-1.1952711067408976,-1.1750865206624246,-1.179753201839442,-2.3813026260530337,-1.171884602585085,-1.1996932942359724,-1.1961614346863205,-1.1904807174660905,-1.1805704515426765,-1.1811218809286304,-2.3727806734191215,-1.165364374969264,-1.2085317640145035,-1.1819683979709212,-1.1884671845223984,-1.1845867633148963,-1.1834421228005552,-2.3771835598829454,-1.1796590882025242,-1.1685020514921727,-1.2068033456481915,-1.1925362064871927,-1.1721834281490175,-1.1796760537329538,-2.378015197428115,-0.28912798313936505,-0.8249205904475153,0.18302147753997863,0.4113807099006569,-0.013692848769050414,0,-0.017092614302461784,0
1261.98,2015-05-12,NSE,1282.5,1256.5,1280.0,TCS,2463020,1261.98,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.53,1294.0,1276.88,1268.23,1286.01,1278.482,0.0,1262.5,1258.15,1226.85,1250.0,1259.05,1246.3799999999999,0.0,1267.5,1280.0,1232.45,1250.5,1275.8333333333333,1263.49,0.0,1279.5,1265.0,1274.0,1257.5,1268.8266666666666,1262.396,0.0,18.632742149238258,0.0,-0.013692848769050414,0.003562624254473068,-1.185083493716323,-1.1791950106052251,-1.1759867437810665,-1.1678669786713043,-0.08112804378800069,-1.185083493716323,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,-0.12756392081473136,2.205438453196911,2.205438453196911,-0.14571715051959233,0.4231593657506318,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,3.6517347273936576,3.6631241121301863,-0.0018448740130127,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.177600471865287,-1.1632045337113124,-1.1770083939781577,-1.1802331169355955,-1.1732989471984334,-1.177033651826399,-2.3813026260530337,-1.1676690528421692,-1.1693908815732135,-1.1971769457163375,-1.1698257073483531,-1.1709888360517702,-1.179863282572666,-2.3727806734191215,-1.177380109998409,-1.1628698623759421,-1.2059992237103236,-1.18368045255255,-1.1693448315366184,-1.177776361363604,-2.3771835598829454,-1.1657132411948588,-1.1771493922036327,-1.1660094207498706,-1.1768554812038674,-1.176038739322041,-1.1788150709340814,-2.378015197428115,-0.291301886380847,-0.8249205904475153,-0.28294479321926647,-0.004014886758707232,-0.0003407344014960678,0,-0.004738585397549899,0
1261.55,2015-05-13,NSE,1273.5,1240.23,1273.5,TCS,1856548,1261.55,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.5,1281.53,1294.0,1257.5,1279.1766666666665,1281.682,0.0,1256.5,1262.5,1258.15,1227.9,1253.0766666666666,1248.846,0.0,1280.0,1267.5,1280.0,1257.5,1273.6666666666667,1266.69,0.0,1261.98,1279.5,1265.0,1231.5,1267.6766666666665,1268.406,0.0,7.972902859059617,0.0,-0.0003407344014960678,0.024401136825010106,-1.1854974712546413,-1.187788280488067,-1.1917695265763049,-1.1741214394935149,-0.33454759990250565,-1.1854974712546413,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.14571715051959233,0.4231593657506318,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,-0.0014796331958645292,-3.6631241121301863,-0.0018448740130127,1.895601569001821,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.1766752321676857,-1.1750870253052115,-1.1607114482945358,-1.1904262711118996,-1.1798194553855896,-1.1739844016365817,-2.3813026260530337,-1.1734836042117085,-1.1651795239028302,-1.1669050454882166,-1.191156348638166,-1.1767798158020921,-1.1774758183066596,-2.3727806734191215,-1.165364374969264,-1.1748735168550593,-1.160383823953494,-1.1769790277947618,-1.1714283763643534,-1.1747034060079695,-2.3771835598829454,-1.1825636715103274,-1.1632175655018362,-1.1746481342577504,-1.2017607260032848,-1.177145297021453,-1.1730399519371808,-2.378015197428115,-0.4665240720281246,-0.8249205904475153,-0.03561579708676031,0.31245150024497464,-0.011137093258293373,0,0.013435852720859343,1
1247.5,2015-05-14,NSE,1260.0,1242.5,1260.0,TCS,1306310,1247.5,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.5,1282.5,1281.53,1276.88,1272.0,1278.306,0.0,1240.23,1256.5,1262.5,1226.85,1246.41,1251.9759999999999,0.0,1273.5,1280.0,1267.5,1232.45,1271.1666666666667,1272.2,0.0,1261.55,1261.98,1279.5,1274.0,1257.01,1263.106,0.0,11.397222468654395,0.0,-0.011137093258293373,-0.02080062794348514,-1.1990239466345742,-1.2006781853123298,-1.1895675034081925,-1.1871114735088755,-0.5644692940900906,-1.1990239466345742,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,2.205438453196911,-0.14571715051959233,-0.15663002050814168,-0.17906334789606196,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,-0.0014796331958645292,3.6631241121301863,-0.0018448740130127,-0.0015367665739779645,0.001826212676086942,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.185259930392854,-1.1741627256383245,-1.1725819455302113,-1.1720158957217064,-1.186667579349954,-1.177201360586839,-2.3813026260530337,-1.1892507293421095,-1.170988293103359,-1.1626979283638614,-1.1921697953962793,-1.183242962844862,-1.17444550072653,-2.3727806734191215,-1.1716125571844194,-1.1628698623759421,-1.1723752539631758,-1.2009605549637035,-1.1738324665502016,-1.1694121610049864,-2.3771835598829454,-1.1829772380077963,-1.1800510554201449,-1.1607302069394998,-1.161050229696545,-1.1874090206102017,-1.1781328189394393,-2.378015197428115,-0.41023647237351724,-0.8249205904475153,-0.23560304438196672,-0.37401012382992216,0.006412825651302523,1,0.022805611222444844,1
1255.5,2015-05-15,NSE,1266.2,1250.5,1257.5,TCS,1458518,1255.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1273.5,1282.5,1294.0,1266.5666666666668,1272.7459999999999,1271.274,1242.5,1240.23,1256.5,1258.15,1244.41,1250.446,1244.373,1260.0,1273.5,1280.0,1280.0,1263.6666666666667,1267.7,1260.4450000000002,1247.5,1261.55,1261.98,1265.0,1254.8500000000001,1261.206,1257.516,11.787713094574379,14.517985933164255,0.006412825651302523,-0.007509881422924858,-1.1913220389449328,-1.1947583771708166,-1.181807069335549,-1.1895170353635718,-0.5008678684726233,-1.1913220389449328,-0.09273681093054349,0.07465187007854363,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.12756392081473136,-0.14571715051959233,-0.15663002050814168,0.8159270631062869,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.09273681093054349,-0.1191723323535084,-0.1361254827123327,-0.16915874252158591,-0.0014796331958645292,-0.0014796331958645292,-0.0014796331958645292,0.0,-0.0018448740130127,-0.0015367665739779645,1.5047992450956416,0.07465187007854361,0.07465187007854363,0.07465187007854361,0.07465187007854361,0.10556366079923285,0.11759682302796498,0.13879839060681112,-1.1981369777306066,-1.1827387019290296,-1.1716585788647258,-1.155752447492599,-1.1918521785426681,-1.1824994327916465,-1.1747441774337597,-1.1870508907406339,-1.186739738918793,-1.168500848535386,-1.1619594301306164,-1.185181906957693,-1.175926774176242,-1.1727558714981154,-1.184589551015896,-1.169111762705083,-1.160383823953494,-1.155438733930443,-1.1810447371077464,-1.1737335044738473,-1.171587240330062,-1.1964902828669477,-1.1804642061430257,-1.1775469025681722,-1.1696712759732664,-1.1894874246369231,-1.179958563713834,-1.1744014349938183,-0.403817743245817,-0.5891164060154068,0.08948433179157121,-0.17216872475183667,0.0016965352449225257,1,0.04412584627638405,1
