ShortName
ACRTEC
ALFLAV
AMAREM
ANDBAN
ARITHR
BANRAJ
BELCER
BHAFIN
BLOPLA
BLUBIR
BRARET
BVHOLD
CAPFIR
CENBN
COMINT
COREDU
CYBINF
DCLPOL
DECCER
DHATEC
DISPHA
EDSERV
EICHER
ENTLIM
ERAINF
ESSSTE
ETCNET
FTCPO2
GEIHAM
GLOALO
GLOPOL
GREOFF
GSLNOV
HERCHE
HINDOR
HININK
HINLC
HUGSOF
INDBUL
ISPIND
JUMBAG
KEMIND
KINAIR
KLGSYS
LAKMIL
LANINF
MAWSUG
MICTEC
MONSIN
NATSYN
NICCOR
OCLIND
PARPLA
PARPRI
PARSUG
PATCOM
PRIINF
PRILIM
RAICAL
RELENE
RELGOL
RELNAT
RELPET
SARELE
SCISOF
SHPREC
SILCHE
SRE114
SRE115
STOONE
TECSYS
TRELIM
TRIFI
TV18
TWILIT
USHAGR
VIJBAN
VIKMET
VINCAR
VISEXP
VISUAL
VITCOM
WARNSD
WOCLIF
ZANREA
APLAB
BPLREF
CREBOS
DABPHA
DATLAB
DECCHR
EXCCRO
GEOWIL
HANERA
HINSPI
ILFINV
INFTE
JINDRI
KOJFIN
NEPTEX
NISCOP
RPGCAB
SHRINV
SHRIRA
SYNCHE
THEJEY
VIDINT
UNITBA
INDFOI
NEOSAC
SYRSGS
SURELE
GOLPOW
AMARAJ
SHRVIN
SHRLA
SIRPAP
RAMPOL
AUTOLI
BININD
EMAPAP
FACT
GUJRAF
GODCON
FAGBEA
MANDIN
ORICON
SBINIF
BALPAP
SHYCEN
ADATRA
MANOIN
FEDBAN
SGBT60
CONPE
SYNINT
EMKTAP
SGBT28
KAYLIM
AYMSYN
NGLFIN
KCKIND
PRAPIP
AARIN
RAMSTE
MAJLIM
MANWOR
PERTEA
SKPBEA
RADJEW
DIGLI
CONSEC
GUJSTA
HOTRUG
RRMAHO
FINCAB
JAIIRR
SHARIN
STECIT
KSHPOL
FININD
MUTCAP
DYNCAB
AXBETF
LUPIN
UNISPI
SATCRE
ARVINF
POWMEC
RAMRAT
BLUBLE
AGNGRE
CMIFPE
MOTHEA
UTINIF
KOTCON
UTISEN
UFLLIM
SHAMOT
515K25
NAVCOR
RAMPHO
PENENG
NIFBEE
KRBL
MACIN
MARPHA
TRACOR
ICI200
SHRPUS
LOYTEX
GUJGA
AMBSAR
BHAAIR
FLECHE
UPSSEE
SADINF
HDFN50
PNEHOL
HDF100
AUTSTA
GOLTEL
FLEENG
PRADAI
PONERO
PUNBAN
ARVREM
KOTMNC
HELMAT
INNIND
PLEPHA
TIMHOM
SHAREA
ADIQUA
ADIMOM
FORCOM
SURTEL
VEEFAS
TIMGUA
726H32
ICIINF
INDMAR
FOSIND
SPOIND
ORAFIN
NTPN13
UNIBAN
APTLIM
HIGINV
ZENTE
DSPSIL
CAMALL
AHIIND
ALLBAN
FULIND
NUCSOF
SYRTEC
CANBAN
MOTQUA
MOTENH
SRIORG
GABIND
DRESER
INDLIM
GRMOVE
HDFSIL
JFLLIF
JAYJAL
DHABIO
AMEPRE
LLOELE
GENINT
GANANH
OMAAUT
GODIND
COARE1
NIFJUN
DIVLAB
INDFER
TAMMER
STC
GARSIL
VIVPOW
MEGFLE
SABFLE
TAPFRU
RADKHA
INDRA
PEAENG
MARUTI
GARWAL
NIFUTI
LIBEES
INDRT
ISHINT
TQL22D
INFOTE
ICIPBE
DCMNOU
